Waypoint(Transform(Location(x=235.159760, y=55.482361, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=191.159760, y=55.487724, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=189.159760, y=55.487968, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=187.159760, y=55.488209, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=185.159760, y=55.488453, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=183.159760, y=55.488697, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=181.159760, y=55.488941, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=179.159760, y=55.489185, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=177.159760, y=55.489429, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=175.159760, y=55.489674, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=173.159760, y=55.489918, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=171.159760, y=55.490162, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=167.169739, y=55.490650, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=167.169754, y=55.490646, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=165.169754, y=55.490891, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=163.537964, y=55.373806, z=0.000000), Rotation(pitch=360.000000, yaw=-169.660828, roll=0.000000)))
Waypoint(Transform(Location(x=162.039993, y=54.928444, z=0.000000), Rotation(pitch=360.000000, yaw=-157.223022, roll=0.000000)))
Waypoint(Transform(Location(x=160.673126, y=54.170898, z=0.000000), Rotation(pitch=360.000000, yaw=-144.785217, roll=0.000000)))
Waypoint(Transform(Location(x=159.525681, y=53.154011, z=0.000000), Rotation(pitch=360.000000, yaw=-131.509613, roll=0.000000)))
Waypoint(Transform(Location(x=158.681870, y=51.919014, z=0.000000), Rotation(pitch=360.000000, yaw=-117.175262, roll=0.000000)))
Waypoint(Transform(Location(x=158.170105, y=50.513565, z=0.000000), Rotation(pitch=360.000000, yaw=-102.840912, roll=0.000000)))
Waypoint(Transform(Location(x=158.020432, y=48.975445, z=0.000000), Rotation(pitch=360.000000, yaw=-89.930359, roll=0.000000)))
Waypoint(Transform(Location(x=158.023804, y=46.202396, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.023804, y=46.202396, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.026230, y=44.202400, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.028671, y=42.202400, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.031097, y=40.202400, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.033524, y=38.202400, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.035950, y=36.202404, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.038391, y=34.202404, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.040817, y=32.202408, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.043243, y=30.202408, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.045670, y=28.202408, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.048111, y=26.202412, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.050537, y=24.202412, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.052963, y=22.202414, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.055389, y=20.202415, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.057816, y=18.202415, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.060257, y=16.202417, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.062683, y=14.202419, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.066544, y=11.022422, z=0.000000), Rotation(pitch=360.000000, yaw=270.069580, roll=0.000000)))
Waypoint(Transform(Location(x=158.066544, y=11.022422, z=0.000000), Rotation(pitch=360.000000, yaw=-89.930359, roll=0.000000)))
Waypoint(Transform(Location(x=158.068985, y=9.022423, z=0.000000), Rotation(pitch=360.000000, yaw=-89.930359, roll=0.000000)))
Waypoint(Transform(Location(x=158.081345, y=7.139328, z=0.000000), Rotation(pitch=360.000000, yaw=-86.587311, roll=0.000000)))
Waypoint(Transform(Location(x=158.356750, y=5.673711, z=0.000000), Rotation(pitch=360.000000, yaw=-72.126877, roll=0.000000)))
Waypoint(Transform(Location(x=158.989426, y=4.323300, z=0.000000), Rotation(pitch=360.000000, yaw=-57.666443, roll=0.000000)))
Waypoint(Transform(Location(x=159.920883, y=3.197705, z=0.000000), Rotation(pitch=360.000000, yaw=-42.346573, roll=0.000000)))
Waypoint(Transform(Location(x=161.085770, y=2.415886, z=0.000000), Rotation(pitch=360.000000, yaw=-25.388763, roll=0.000000)))
Waypoint(Transform(Location(x=162.428040, y=2.007821, z=0.000000), Rotation(pitch=360.000000, yaw=-8.430954, roll=0.000000)))
Waypoint(Transform(Location(x=164.130997, y=1.956516, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=168.079773, y=1.956937, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=168.079773, y=1.956937, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=170.079773, y=1.957151, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=172.079773, y=1.957364, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=174.079773, y=1.957578, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=176.079773, y=1.957791, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=178.079773, y=1.958005, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=180.079773, y=1.958218, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=182.079773, y=1.958432, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=184.079773, y=1.958645, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=186.079773, y=1.958858, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=188.079773, y=1.959072, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=190.079773, y=1.959285, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=192.079773, y=1.959499, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=194.079773, y=1.959712, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=196.079773, y=1.959926, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=198.079773, y=1.960139, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=200.079773, y=1.960353, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=202.079773, y=1.960566, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=204.079773, y=1.960780, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=206.079773, y=1.960993, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=208.079773, y=1.961207, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=210.079773, y=1.961420, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=212.079773, y=1.961633, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=214.079773, y=1.961847, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=216.079773, y=1.962060, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=218.079773, y=1.962274, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=220.079773, y=1.962487, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=222.079773, y=1.962701, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=224.079773, y=1.962914, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=226.079773, y=1.963128, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=228.079788, y=1.963341, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=230.079788, y=1.963555, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=232.079788, y=1.963768, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=234.079788, y=1.963982, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=236.079788, y=1.964195, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=238.079788, y=1.964408, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=240.079788, y=1.964622, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=242.079788, y=1.964835, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=244.079788, y=1.965049, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=246.079788, y=1.965262, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=248.079788, y=1.965476, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=250.079788, y=1.965689, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=252.079788, y=1.965903, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=254.079788, y=1.966116, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=256.079773, y=1.966330, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=258.079773, y=1.966543, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=260.079773, y=1.966756, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=262.079773, y=1.966970, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=264.079773, y=1.967183, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=266.079773, y=1.967397, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=268.079773, y=1.967610, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=270.079773, y=1.967824, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=272.079773, y=1.968037, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=274.079773, y=1.968251, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=276.079773, y=1.968464, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=278.079773, y=1.968678, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=280.079773, y=1.968891, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=282.079773, y=1.969105, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=284.079773, y=1.969318, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=286.079773, y=1.969531, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=288.079773, y=1.969745, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=290.079773, y=1.969958, z=0.000000), Rotation(pitch=360.000000, yaw=0.006119, roll=0.000000)))
Waypoint(Transform(Location(x=292.078949, y=1.970855, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=294.078949, y=1.971918, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=296.078949, y=1.972980, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=298.078949, y=1.974043, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=300.078949, y=1.975105, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=302.078949, y=1.976167, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=304.078949, y=1.977230, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=306.078949, y=1.978292, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=308.078949, y=1.979355, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=310.078949, y=1.980417, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=312.078949, y=1.981480, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=314.078949, y=1.982542, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=316.078949, y=1.983605, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=318.078949, y=1.984667, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=320.078949, y=1.985730, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=322.078949, y=1.986792, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=325.628937, y=1.988678, z=0.000000), Rotation(pitch=360.000000, yaw=-359.969543, roll=0.000000)))
Waypoint(Transform(Location(x=325.628937, y=1.988678, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=327.628937, y=1.989740, z=0.000000), Rotation(pitch=360.000000, yaw=0.030457, roll=0.000000)))
Waypoint(Transform(Location(x=329.456360, y=2.013044, z=0.000000), Rotation(pitch=360.000000, yaw=4.956680, roll=0.000000)))
Waypoint(Transform(Location(x=330.922119, y=2.326692, z=0.000000), Rotation(pitch=360.000000, yaw=19.199020, roll=0.000000)))
Waypoint(Transform(Location(x=332.265717, y=2.991321, z=0.000000), Rotation(pitch=360.000000, yaw=33.441376, roll=0.000000)))
Waypoint(Transform(Location(x=333.401245, y=3.963274, z=0.000000), Rotation(pitch=360.000000, yaw=47.805542, roll=0.000000)))
Waypoint(Transform(Location(x=334.246704, y=5.178978, z=0.000000), Rotation(pitch=360.000000, yaw=62.562714, roll=0.000000)))
Waypoint(Transform(Location(x=334.754578, y=6.569934, z=0.000000), Rotation(pitch=360.000000, yaw=77.319870, roll=0.000000)))
Waypoint(Transform(Location(x=334.895020, y=8.115716, z=0.000000), Rotation(pitch=360.000000, yaw=90.034615, roll=0.000000)))
Waypoint(Transform(Location(x=334.893402, y=10.788790, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.893402, y=10.788790, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.892181, y=12.788790, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.890991, y=14.788789, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.889771, y=16.788790, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.888580, y=18.788790, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.887360, y=20.788790, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.886139, y=22.788790, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.884949, y=24.788788, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.883728, y=26.788788, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.882538, y=28.788786, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.881317, y=30.788786, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.880127, y=32.788784, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.878906, y=34.788784, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.877686, y=36.788784, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.876495, y=38.788784, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.875275, y=40.788784, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.874084, y=42.788784, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.871887, y=46.418781, z=0.000000), Rotation(pitch=0.000000, yaw=-269.965363, roll=0.000000)))
Waypoint(Transform(Location(x=334.871887, y=46.418781, z=0.000000), Rotation(pitch=0.000000, yaw=-269.965363, roll=0.000000)))
Waypoint(Transform(Location(x=334.870667, y=48.418781, z=0.000000), Rotation(pitch=0.000000, yaw=-269.965363, roll=0.000000)))
Waypoint(Transform(Location(x=334.869446, y=50.418781, z=0.000000), Rotation(pitch=0.000000, yaw=-269.965363, roll=0.000000)))
Waypoint(Transform(Location(x=334.868256, y=52.418781, z=0.000000), Rotation(pitch=0.000000, yaw=-269.965363, roll=0.000000)))
Waypoint(Transform(Location(x=334.867035, y=54.418781, z=0.000000), Rotation(pitch=0.000000, yaw=-269.965363, roll=0.000000)))
Waypoint(Transform(Location(x=334.865845, y=56.418781, z=0.000000), Rotation(pitch=0.000000, yaw=-269.965363, roll=0.000000)))
Waypoint(Transform(Location(x=334.864624, y=58.418781, z=0.000000), Rotation(pitch=0.000000, yaw=-269.965363, roll=0.000000)))
Waypoint(Transform(Location(x=334.863434, y=60.418781, z=0.000000), Rotation(pitch=0.000000, yaw=-269.965363, roll=0.000000)))
Waypoint(Transform(Location(x=334.862213, y=62.418781, z=0.000000), Rotation(pitch=0.000000, yaw=-269.965363, roll=0.000000)))
Waypoint(Transform(Location(x=334.860992, y=64.418785, z=0.000000), Rotation(pitch=0.000000, yaw=-269.965363, roll=0.000000)))
Waypoint(Transform(Location(x=334.859802, y=66.418785, z=0.000000), Rotation(pitch=0.000000, yaw=-269.965363, roll=0.000000)))
Waypoint(Transform(Location(x=334.858215, y=69.028786, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.858215, y=69.028786, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.856995, y=71.028786, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.855804, y=73.028786, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.854584, y=75.028786, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.853394, y=77.028786, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.852173, y=79.028786, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.850952, y=81.028786, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.849762, y=83.028786, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.848541, y=85.028786, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.847351, y=87.028778, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.846130, y=89.028778, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.844940, y=91.028778, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.843719, y=93.028778, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.842499, y=95.028778, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.841309, y=97.028778, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
Waypoint(Transform(Location(x=334.840088, y=99.028778, z=0.000000), Rotation(pitch=0.000000, yaw=90.034599, roll=0.000000)))
